datums,prognozes temp
1/1/2022,1.1
2/1/2022,2.3
3/1/2022,5.58
4/1/2022,9.85
5/1/2022,14.73
6/1/2022,19.03
7/1/2022,20.99
8/1/2022,20.02
9/1/2022,17.07
10/1/2022,11.78
11/1/2022,7.21
12/1/2022,3.08
