datums,prognozes temp
1/1/2022,2.39
2/1/2022,2.93
3/1/2022,5.01
4/1/2022,9.82
5/1/2022,13.34
6/1/2022,20.71
7/1/2022,20.09
8/1/2022,21.1
9/1/2022,16.25
10/1/2022,11.45
11/1/2022,6.64
12/1/2022,3.29
